transaction_id,account_id,transaction_date,amount,type,channel,merchant,location
91,6,2025-02-15 16:59:55,3615577.48,Debit,Branch,Myanmar Plaza,Yangon
92,6,2025-02-13 07:28:31,664117.64,Debit,ATM,Myanmar Plaza,Yangon
93,6,2024-10-07 20:21:16,2306436.76,Debit,Branch,Myanmar Plaza,Yangon
94,6,2025-02-08 04:22:27,4864053.63,Debit,ATM,MPT Merchant,Taunggyi
95,6,2025-02-01 16:22:29,4360555.21,Credit,POS,Unknown,Myitkyina
96,6,2024-12-27 03:02:42,3610509.27,Debit,ATM,KBZ Pay Merchant,Pathein
97,7,2024-01-15 18:52:45,4977677.22,Credit,ATM,Unknown,Monywa
98,7,2024-11-12 14:07:55,4787916.51,Credit,ATM,Unknown,Sittwe
99,7,2024-07-23 12:41:53,3235799.61,Debit,ATM,Wave Pay Merchant,Myitkyina
100,7,2024-01-10 13:23:25,4138941.41,Debit,Branch,City Mart,Yangon
101,7,2024-02-29 12:51:22,1997747.76,Credit,Branch,Unknown,Monywa
102,7,2024-07-24 21:09:49,3937330.22,Debit,Online,MPT Merchant,Mandalay
103,7,2024-11-14 06:40:15,3610249.08,Debit,Online,Junction Square,Yangon
104,7,2024-04-06 02:14:26,3977969.94,Debit,ATM,Online Shop MM,Mandalay
105,7,2024-02-23 07:41:10,2291751.86,Credit,POS,Unknown,Mawlamyine
106,7,2024-11-21 19:40:06,1712872.07,Credit,Online,Unknown,Myitkyina
107,7,2024-12-12 19:16:14,3498108.8,Debit,ATM,Junction Square,Yangon
108,7,2024-09-21 22:28:46,2609374.69,Debit,Online,MPT Merchant,Taunggyi
109,7,2024-05-11 21:32:53,3569301.84,Debit,POS,MPT Merchant,Mawlamyine
110,7,2025-01-14 18:14:23,2376948.93,Debit,Online,Junction Square,Yangon
111,7,2024-03-03 21:12:56,733484.17,Debit,Branch,Aung San Market,Yangon
112,7,2024-02-18 23:16:04,140995.52,Debit,Online,Junction Square,Yangon
113,7,2024-02-07 16:57:35,61321.52,Debit,Branch,Wave Pay Merchant,Sittwe
114,7,2025-04-05 00:44:57,4500120.04,Credit,POS,Unknown,Sittwe
115,7,2024-09-09 23:37:55,4263199.75,Debit,Online,KBZ Pay Merchant,Myitkyina
116,7,2025-04-10 05:08:44,3242234.14,Credit,Branch,Unknown,Naypyidaw
117,7,2024-07-05 15:05:46,2420508.12,Debit,ATM,Online Shop MM,Bago
118,7,2024-11-04 23:02:42,1547232.11,Debit,Online,MPT Merchant,Mandalay
119,7,2024-12-31 16:31:12,3250333.31,Debit,Branch,MPT Merchant,Yangon
120,8,2025-03-23 01:41:39,4200045.7,Credit,POS,Unknown,Bago
121,8,2025-03-15 08:30:57,1818438.1,Debit,ATM,Online Shop MM,Pathein
122,8,2025-01-18 22:30:34,336921.44,Debit,ATM,City Mart,Yangon
123,8,2025-01-31 05:43:37,2833944.1,Debit,Online,Junction Square,Yangon
124,8,2025-01-14 02:43:56,1142471.31,Credit,POS,Unknown,Yangon
125,8,2025-02-11 23:04:04,4896908.07,Debit,Online,Ocean Supercenter,Yangon
126,8,2025-03-21 21:48:27,3666952.92,Credit,POS,Unknown,Pathein
127,8,2025-01-13 17:54:52,1514501.51,Debit,POS,MPT Merchant,Sittwe
128,8,2025-02-13 15:45:52,2386934.24,Debit,ATM,Online Shop MM,Mandalay
129,8,2025-03-05 07:49:34,982932.72,Debit,ATM,Wave Pay Merchant,Bago
130,8,2025-01-13 10:45:53,500279.67,Debit,Branch,Aung San Market,Yangon
131,8,2025-03-02 10:56:40,49002.78,Debit,ATM,Wave Pay Merchant,Bago
132,8,2025-01-29 14:11:55,2945098.77,Credit,Branch,Unknown,Yangon
133,8,2025-04-01 20:43:29,1259487.14,Debit,Online,Wave Pay Merchant,Naypyidaw
134,8,2025-02-27 19:18:33,1643868.36,Debit,Online,Aung San Market,Yangon
135,8,2025-04-06 13:03:22,4336437.57,Debit,Online,Mytel Payment,Pathein
136,8,2025-01-20 05:12:10,1544711.28,Debit,POS,Wave Pay Merchant,Yangon
137,8,2025-03-28 05:11:23,1596718.53,Credit,Branch,Unknown,Myitkyina
138,8,2025-01-21 12:31:26,816491.24,Debit,Branch,Aung San Market,Yangon
139,9,2025-04-06 08:38:10,4626551.39,Debit,POS,Myanmar Plaza,Yangon
140,9,2025-04-03 09:30:53,3814500.39,Debit,Online,Online Shop MM,Pathein
141,9,2025-02-05 23:17:32,2359906.32,Credit,POS,Unknown,Sittwe
142,9,2025-02-10 05:33:48,3359764.29,Debit,POS,KBZ Pay Merchant,Naypyidaw
143,9,2025-02-07 09:05:23,4261934.06,Credit,POS,Unknown,Taunggyi
144,9,2025-02-19 17:43:03,4783578.2,Credit,Branch,Unknown,Mawlamyine
145,9,2025-02-11 08:23:03,1144389.28,Debit,Online,Online Shop MM,Naypyidaw
146,9,2025-03-16 05:51:19,1531855.71,Credit,Online,Unknown,Myitkyina
147,9,2025-04-11 01:51:59,1540776.41,Debit,Branch,City Mart,Yangon
148,9,2025-02-16 10:22:56,277481.82,Debit,POS,Wave Pay Merchant,Mawlamyine
149,9,2025-03-15 19:25:45,98378.64,Credit,POS,Unknown,Mawlamyine
150,9,2025-03-29 03:55:08,1474689.65,Debit,Online,KBZ Pay Merchant,Monywa
151,9,2025-02-03 02:49:22,1629099.98,Debit,POS,Myanmar Plaza,Yangon
152,9,2025-02-14 17:28:17,2515214.17,Credit,ATM,Unknown,Mandalay
153,9,2025-03-06 18:00:20,1216445.94,Debit,Branch,MPT Merchant,Myitkyina
154,10,2022-04-16 22:30:53,4760274.78,Credit,Branch,Unknown,Myitkyina
155,10,2025-03-25 13:21:51,1249980.78,Credit,Branch,Unknown,Yangon
156,10,2022-08-20 13:58:20,508098.14,Credit,Online,Unknown,Pathein
157,10,2023-08-05 10:14:00,1847874.7,Credit,ATM,Unknown,Myitkyina
158,10,2023-08-13 20:59:21,672289.38,Credit,Online,Unknown,Monywa
159,10,2022-02-01 23:16:30,4121729.18,Credit,Online,Unknown,Sittwe
160,10,2022-12-11 06:16:22,1000771.54,Debit,POS,Online Shop MM,Sittwe
161,10,2023-04-24 07:48:49,2733379.16,Credit,Online,Unknown,Yangon
162,10,2022-03-03 17:03:20,703197.37,Credit,Online,Unknown,Taunggyi
163,10,2022-01-25 15:50:00,4525612.37,Debit,POS,Junction Square,Yangon
164,10,2023-10-26 14:45:03,2342163.67,Debit,Online,Myanmar Plaza,Yangon
165,10,2025-04-02 20:53:57,1277533.53,Credit,ATM,Unknown,Naypyidaw
166,10,2023-10-22 17:31:15,596832.99,Debit,Branch,Wave Pay Merchant,Yangon
167,10,2024-11-16 04:09:18,4158540.55,Debit,Online,City Mart,Yangon
168,10,2022-10-29 13:12:54,2186597.38,Debit,Online,Mytel Payment,Myitkyina
169,11,2023-11-23 14:06:20,1413949.46,Debit,ATM,Ocean Supercenter,Yangon
170,11,2023-03-20 07:26:49,461625.46,Debit,ATM,Mytel Payment,Naypyidaw
171,11,2025-01-07 18:56:43,3993156.29,Credit,ATM,Unknown,Sittwe
172,11,2024-07-22 14:07:20,4612561.91,Credit,POS,Unknown,Mandalay
173,11,2023-09-20 07:56:50,3835809.31,Debit,Online,Wave Pay Merchant,Myitkyina
174,11,2023-11-14 18:58:12,4446889.57,Credit,POS,Unknown,Taunggyi
175,11,2023-04-12 03:17:32,366055.91,Credit,Online,Unknown,Myitkyina
176,11,2023-10-25 18:02:52,2639042.12,Credit,Branch,Unknown,Yangon
177,11,2024-02-02 02:23:57,2007928.88,Debit,Branch,City Mart,Yangon
178,11,2023-04-20 10:37:33,1126924.45,Debit,Online,Myanmar Plaza,Yangon
179,11,2024-05-31 23:35:16,3373017.02,Debit,Branch,Myanmar Plaza,Yangon
180,11,2024-12-20 09:56:01,4626857.38,Credit,POS,Unknown,Bago
181,11,2024-02-01 05:32:39,3865187.01,Debit,POS,Ocean Supercenter,Yangon
182,11,2025-03-27 16:55:57,2667576.83,Credit,ATM,Unknown,Naypyidaw
183,11,2024-01-25 07:35:19,2700841.18,Credit,Online,Unknown,Taunggyi
184,11,2024-09-29 21:49:29,4642399.05,Credit,POS,Unknown,Mawlamyine
185,11,2024-05-10 18:11:12,817281.26,Credit,POS,Unknown,Bago
186,11,2023-08-21 21:49:44,3861954.34,Debit,Branch,Ocean Supercenter,Yangon
187,11,2024-10-31 21:07:13,128094.01,Credit,POS,Unknown,Monywa
188,11,2023-06-11 04:35:09,247022.25,Debit,POS,Myanmar Plaza,Yangon
189,11,2023-07-24 23:27:16,2951495.75,Debit,POS,Mytel Payment,Sittwe
190,11,2024-09-05 20:38:19,3622867.18,Debit,POS,Ocean Supercenter,Yangon
191,11,2025-04-04 22:58:58,3703469.36,Debit,Online,KBZ Pay Merchant,Bago
192,12,2022-07-16 18:52:18,1052426.98,Debit,Online,Wave Pay Merchant,Mawlamyine
193,12,2022-06-20 22:46:55,2544167.54,Credit,ATM,Unknown,Yangon
194,12,2021-11-10 18:59:57,1900765.64,Debit,ATM,Online Shop MM,Taunggyi
195,12,2022-03-26 19:42:13,4728713.19,Credit,Branch,Unknown,Mawlamyine
196,12,2023-09-16 16:46:55,1147564.83,Credit,Branch,Unknown,Myitkyina
197,12,2020-01-07 15:29:10,80234.3,Credit,Online,Unknown,Yangon
198,12,2022-11-01 08:17:31,704538.36,Debit,ATM,Junction Square,Yangon
199,12,2024-03-30 08:56:32,779635.82,Credit,ATM,Unknown,Yangon
200,12,2023-09-25 15:41:23,2981426.24,Debit,Online,Online Shop MM,Sittwe
201,12,2019-05-04 15:41:13,2074966.98,Debit,POS,Junction Square,Yangon
202,12,2020-11-17 21:46:38,4826535.64,Credit,POS,Unknown,Taunggyi
203,12,2025-01-13 03:38:24,4395507.98,Debit,POS,City Mart,Yangon
204,12,2020-01-12 07:56:37,1021180.4,Debit,Online,Aung San Market,Yangon
205,12,2022-04-18 07:36:37,1606042.6,Credit,Online,Unknown,Yangon
206,12,2024-12-17 01:23:33,4444213.43,Debit,POS,KBZ Pay Merchant,Yangon
207,12,2019-06-15 04:35:46,2697835.14,Credit,POS,Unknown,Naypyidaw
208,12,2020-01-17 08:27:28,501476.12,Debit,POS,Ocean Supercenter,Yangon
209,12,2024-11-16 03:20:30,4940969.35,Debit,Branch,Wave Pay Merchant,Monywa
210,12,2021-10-18 08:34:09,4280845.99,Debit,POS,MPT Merchant,Yangon
211,12,2019-06-28 16:28:37,1557842.98,Debit,Online,Junction Square,Yangon
212,12,2023-04-29 11:18:21,3282214.99,Debit,ATM,Wave Pay Merchant,Myitkyina
213,13,2024-11-01 21:47:50,3743845.86,Credit,POS,Unknown,Naypyidaw
214,13,2024-05-09 13:59:56,1097336.34,Debit,POS,Myanmar Plaza,Yangon
215,13,2024-10-20 06:11:09,3716183.0,Credit,Online,Unknown,Sittwe
216,13,2025-04-04 16:20:01,527035.82,Debit,POS,Aung San Market,Yangon
217,13,2025-03-20 18:59:32,3552591.88,Debit,Online,Junction Square,Yangon
218,13,2025-02-21 08:28:41,2110682.74,Credit,ATM,Unknown,Monywa
219,13,2024-04-19 03:13:25,3159769.24,Credit,POS,Unknown,Yangon
220,13,2024-09-08 16:56:05,715629.38,Debit,POS,Junction Square,Yangon
221,13,2024-05-05 19:49:54,1613339.36,Debit,Branch,Online Shop MM,Bago
222,13,2024-10-11 02:39:33,3143935.89,Credit,Branch,Unknown,Myitkyina
223,13,2024-08-18 07:26:02,4963501.22,Debit,Online,Mytel Payment,Myitkyina
224,13,2024-07-08 14:25:36,589977.82,Debit,Online,Online Shop MM,Naypyidaw
225,13,2024-09-04 12:47:23,1277166.83,Credit,Branch,Unknown,Pathein
226,13,2025-04-05 06:35:31,2282123.72,Debit,Online,Mytel Payment,Mawlamyine
227,13,2024-09-19 02:14:11,316525.74,Debit,ATM,Mytel Payment,Naypyidaw
228,13,2025-02-23 12:26:17,473823.02,Credit,ATM,Unknown,Mandalay
229,13,2024-07-16 14:34:55,2752773.38,Debit,Online,Aung San Market,Yangon
230,13,2024-12-02 23:31:14,2181384.37,Credit,ATM,Unknown,Pathein
231,13,2025-02-15 07:06:24,913879.27,Credit,POS,Unknown,Naypyidaw
232,13,2024-05-26 10:19:36,4200224.07,Debit,ATM,Myanmar Plaza,Yangon
233,13,2024-04-17 08:16:05,2628347.87,Credit,ATM,Unknown,Pathein
234,13,2024-09-27 19:24:09,1813918.1,Debit,POS,Online Shop MM,Naypyidaw
235,13,2024-12-27 15:37:51,501590.23,Debit,POS,Junction Square,Yangon
236,13,2024-05-21 13:01:31,4711017.75,Credit,POS,Unknown,Mawlamyine
237,13,2025-01-01 05:34:21,245512.0,Credit,Branch,Unknown,Mawlamyine
238,13,2024-12-28 15:41:37,1949472.23,Debit,Branch,Wave Pay Merchant,Myitkyina
239,13,2025-03-17 13:43:45,1610284.49,Credit,Online,Unknown,Yangon
240,13,2025-01-20 08:10:16,375277.55,Credit,Online,Unknown,Bago
241,13,2025-04-08 12:27:45,4615337.71,Credit,ATM,Unknown,Yangon
242,13,2024-08-16 15:49:19,3776092.66,Debit,Branch,Junction Square,Yangon
243,13,2025-03-29 02:00:46,1956800.11,Debit,Branch,KBZ Pay Merchant,Sittwe
244,13,2024-08-04 16:31:34,967663.12,Credit,ATM,Unknown,Bago
245,14,2024-04-17 02:08:23,4816823.36,Debit,Branch,Ocean Supercenter,Yangon
246,14,2024-07-02 13:59:49,4721761.19,Debit,Branch,Junction Square,Yangon
247,14,2025-01-03 13:26:12,3803162.39,Debit,ATM,Mytel Payment,Mawlamyine
248,14,2023-12-23 16:21:35,2621680.54,Credit,Branch,Unknown,Bago
249,14,2024-04-08 00:06:14,3302446.75,Debit,ATM,Mytel Payment,Sittwe
250,14,2024-02-16 10:28:41,2272382.78,Debit,Online,Aung San Market,Yangon
251,14,2023-11-11 08:45:03,1908127.05,Credit,ATM,Unknown,Myitkyina
252,14,2024-05-16 10:05:45,2130126.96,Debit,Branch,Aung San Market,Yangon
253,14,2024-03-01 13:08:05,2614673.7,Debit,Online,Myanmar Plaza,Yangon
254,14,2024-11-29 23:05:26,4183708.88,Credit,Branch,Unknown,Yangon
255,14,2023-12-11 19:09:52,3190661.48,Credit,Online,Unknown,Mawlamyine
256,14,2024-08-06 12:49:08,4523752.06,Credit,Online,Unknown,Monywa
257,14,2024-07-23 13:20:00,3335225.44,Debit,Online,Ocean Supercenter,Yangon
258,14,2025-02-06 05:09:53,506553.78,Credit,POS,Unknown,Sittwe
259,14,2024-08-16 14:52:38,2475385.44,Debit,Online,Ocean Supercenter,Yangon
260,14,2024-07-23 01:45:47,2803793.13,Credit,Branch,Unknown,Sittwe
261,14,2025-01-04 22:15:15,2595314.96,Credit,Branch,Unknown,Yangon
262,14,2024-11-22 17:10:26,3008709.88,Debit,ATM,MPT Merchant,Mandalay
263,14,2024-06-17 03:04:59,588249.34,Credit,Online,Unknown,Sittwe
264,14,2024-12-15 04:14:49,3363374.36,Credit,Branch,Unknown,Monywa
265,14,2024-01-30 10:03:18,3591726.72,Debit,Branch,Wave Pay Merchant,Sittwe
266,14,2024-07-23 03:16:53,4317192.92,Debit,Branch,KBZ Pay Merchant,Yangon
267,14,2024-05-30 04:43:14,1080981.64,Debit,Online,Ocean Supercenter,Yangon
268,14,2023-10-08 22:34:09,4603427.79,Credit,Branch,Unknown,Mawlamyine
269,15,2025-02-23 16:26:58,1793586.07,Credit,Online,Unknown,Bago
270,15,2023-12-20 02:04:39,1383885.75,Credit,Online,Unknown,Myitkyina
271,15,2024-08-29 20:06:15,3495823.04,Credit,POS,Unknown,Bago
272,15,2024-08-30 02:39:47,2792830.35,Credit,Online,Unknown,Monywa
273,15,2024-11-30 05:52:49,3766842.45,Credit,POS,Unknown,Myitkyina
274,15,2024-07-26 14:31:17,4283375.15,Debit,POS,Online Shop MM,Mawlamyine
275,15,2023-08-31 12:09:12,507389.54,Credit,Branch,Unknown,Taunggyi
276,15,2024-11-12 21:42:27,3109376.83,Credit,Branch,Unknown,Bago
277,15,2024-09-04 05:33:31,1324137.28,Credit,Online,Unknown,Taunggyi
278,15,2023-11-10 00:57:07,4029681.6,Credit,POS,Unknown,Naypyidaw
279,15,2023-11-26 11:45:51,1614476.13,Debit,Online,Mytel Payment,Pathein
280,15,2023-12-19 18:12:08,1481722.26,Debit,POS,KBZ Pay Merchant,Sittwe
281,15,2023-07-25 01:04:19,3478484.8,Debit,ATM,MPT Merchant,Monywa
282,15,2023-08-19 03:26:51,4261191.84,Debit,Online,Mytel Payment,Taunggyi
283,15,2023-07-28 21:21:28,1984386.94,Credit,ATM,Unknown,Mawlamyine
284,15,2024-08-13 11:07:08,3067486.72,Credit,Online,Unknown,Bago
285,15,2023-06-23 05:42:20,2213237.74,Debit,POS,Aung San Market,Yangon
286,15,2024-05-03 06:35:42,2472970.14,Credit,POS,Unknown,Bago
287,15,2024-01-01 18:06:59,4375804.63,Debit,POS,Junction Square,Yangon
288,15,2023-10-10 18:09:48,1484668.88,Credit,Branch,Unknown,Myitkyina
289,15,2023-10-07 13:22:27,2073214.68,Debit,POS,KBZ Pay Merchant,Naypyidaw
290,15,2023-10-13 15:36:01,4239675.97,Debit,Branch,Aung San Market,Yangon
291,15,2024-01-30 07:01:12,4017327.0,Debit,Online,Online Shop MM,Bago
292,15,2024-12-09 23:06:59,1601453.46,Debit,POS,Online Shop MM,Bago
293,15,2023-12-23 10:06:48,3977989.83,Debit,ATM,Mytel Payment,Myitkyina
294,15,2023-07-07 15:55:40,2677264.21,Debit,POS,Online Shop MM,Pathein
295,15,2024-12-03 18:28:17,4105566.59,Debit,Online,MPT Merchant,Yangon
296,15,2024-09-18 03:26:45,2301734.12,Debit,Branch,Ocean Supercenter,Yangon
297,15,2024-07-19 09:19:52,111553.8,Debit,ATM,Online Shop MM,Myitkyina
298,15,2024-09-10 12:34:37,4338018.16,Debit,Online,Ocean Supercenter,Yangon
299,17,2025-02-22 09:53:02,2849198.38,Credit,ATM,Unknown,Sittwe
300,17,2023-10-24 15:47:25,2454558.27,Credit,POS,Unknown,Monywa
301,17,2024-04-15 14:09:12,1076805.49,Debit,Online,Online Shop MM,Bago
302,17,2023-12-24 21:01:50,2849716.97,Credit,Branch,Unknown,Naypyidaw
303,17,2025-01-26 03:35:18,3831734.95,Credit,Online,Unknown,Yangon
304,17,2024-12-04 19:49:37,4854471.72,Debit,Online,MPT Merchant,Mandalay
305,17,2024-09-15 22:46:31,3873329.98,Debit,ATM,Mytel Payment,Monywa
306,17,2024-06-02 09:01:55,3652171.33,Credit,POS,Unknown,Sittwe
307,17,2024-05-05 13:59:43,3868897.28,Credit,POS,Unknown,Yangon
308,17,2024-02-23 00:29:04,3247385.66,Debit,ATM,Online Shop MM,Mandalay
309,17,2024-07-03 10:20:50,471712.98,Debit,Branch,KBZ Pay Merchant,Monywa
310,17,2025-03-18 03:36:56,3482378.86,Debit,Online,Junction Square,Yangon
311,17,2024-05-03 03:44:28,1556665.72,Debit,Branch,Aung San Market,Yangon
312,17,2024-03-18 09:10:40,454581.72,Debit,POS,Myanmar Plaza,Yangon
313,17,2025-02-06 20:31:45,4928194.48,Credit,Online,Unknown,Myitkyina
314,17,2024-08-23 01:36:06,3759325.12,Debit,ATM,MPT Merchant,Yangon
315,19,2022-06-15 20:30:25,4910068.6,Debit,Online,Ocean Supercenter,Yangon
316,19,2022-02-12 09:36:14,9642.77,Credit,ATM,Unknown,Yangon
317,19,2024-04-11 10:33:21,1634971.46,Debit,Online,Ocean Supercenter,Yangon
318,19,2024-02-16 05:06:12,943222.0,Credit,POS,Unknown,Pathein
319,19,2024-11-09 22:13:53,1092650.91,Debit,POS,MPT Merchant,Taunggyi
320,19,2022-08-15 03:58:22,2870351.07,Credit,POS,Unknown,Pathein
321,19,2020-12-13 17:33:33,745099.92,Credit,ATM,Unknown,Sittwe
322,19,2024-06-18 22:29:39,194832.63,Debit,ATM,Aung San Market,Yangon
